"rowid","votereg","inputregstate","region","division","CONSENT","TAX_rate","STATE_DC","STATE_PR","SEXWORK","LOCALNEWS","REDFLAG","STUDEBT","GND","BDS","PRISVOTE","PROSPAY","FEES","SSCAP","OVERTIME","FOURDAY","TELMED","MINWAGE","WEALTAX","NAMEANYDEM","NAMEANYREP","employ","job","work_employees","work_comp","pp_daily_intuse_work","work_customers","work_benefits","work_pay","jobsec","side_job_US_1","side_job_US_2","side_job_US_3","side_job_US_4","side_job_US_5","side_job_US_6","side_job_US_7","side_job_US_8","employ_worktype","employ_worktype_other","NRSCLASS","DOWORK","WORKDIVERSE","WORKSAFE","class_neighbor","parents_ed","PAID","class_open","KARNOSKI","REGENTS","PICS","SHELBY","BURWELL","REDISTRICTING","SCOTUSQ1","SCOTUSQ2","SCOTUSGRID_split","roberts1","thomas1","sotomayor1","ginsberg1","kavanaugh1","kagan1","alito1","breyer1","gorsuch1","roberts2","thomas2","sotomayor2","ginsberg2","kavanaugh2","kagan2","alito2","breyer2","gorsuch2","COURTVIEW","COURTAPPROVE","PRES_APP","pid3","pid3_t","pid7","dtrpsupp","ideo5","turnout16","presvote16post","presvote16post_t","djtrelct","turnout18post","housevote18post","housevote18post_t","fin_emerg","fin_checking","fin_savings","fin_cashing","fin_cc","fin_loan","fin_car","fin_sticks","HOME_OWN","OPIOID","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","birthyr","age5","educ","educ4","educ2","race","race_t","race4","race2","hispanic","faminc_new","urban","GENDER_4","GENDER4_open","weight"
1,1,39,2,3,1,3,2,3,3,4,3,3,3,3,5,6,6,6,6,3,3,1,3,"Pelosi","Sanders",1,NA,2,1,4,1,2,1,NA,1,2,2,2,2,2,2,2,5,NA,2,"Home health aide",1,1,1,3,2,"Not sure",2,3,3,3,3,3,9,"Kavanagh",1,3,1,5,3,1,6,3,3,3,3,4,2,6,4,6,6,6,6,2,3,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,1972,3,6,4,2,1,NA,1,1,2,3,3,2,NA,0.9527
2,1,54,3,5,1,4,2,1,1,5,2,5,5,1,5,2,5,1,2,3,1,5,1,"Kamala Harris","Shelley Moore Capito",1,NA,2,1,3,2,1,3,2,2,2,2,2,2,2,1,2,16,NA,3,"I embed English into tech center classes",2,3,2,3,6,"It means working for not much money and not getting ahead. It means paying for other people's mistakes and their poor life choices. It means working until you can't work anymore and then dying. It means getting screwed by both political parties.",2,2,1,2,2,2,9,"Roberts",2,4,1,2,5,1,4,2,5,1,3,5,2,1,5,1,4,1,4,1,1,2,3,NA,4,NA,4,1,3,NA,2,1,1,NA,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,1978,3,5,3,2,1,NA,1,1,2,5,3,1,NA,1.1759
3,1,6,4,9,1,6,6,6,1,6,2,6,3,3,3,3,2,2,6,6,5,3,2,"dont know","dont know",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,"working your butt off, and barely making it",3,3,1,3,3,3,12,"unknown",1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,5,3,NA,4,NA,3,2,7,NA,2,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1965,4,1,1,1,1,NA,1,1,2,5,2,2,NA,0.9155
4,1,12,3,5,1,1,3,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,"TheresavJacobs","None",1,NA,1,1,2,2,1,3,4,1,2,2,2,2,2,2,2,14,NA,1,"Accountant. Responsible for financial statements",3,1,2,5,6,"Work your whole life to support your family. Not enough left to do anything else",1,1,1,3,3,1,9,"Roberts",2,1,1,1,1,3,1,1,1,3,3,5,2,2,3,1,3,3,4,1,1,5,3,NA,4,NA,3,1,6,NA,1,1,1,NA,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,1962,4,5,3,2,3,NA,3,2,1,10,2,1,NA,0.722
5,1,12,3,5,1,3,4,5,2,5,4,1,5,1,5,5,3,3,5,5,5,5,5,"Elizabeth Warren","Susan Collins",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,"Earning a paycheck",2,2,1,1,2,1,9,"Kavanah",2,3,2,5,5,1,5,2,4,1,3,4,1,2,4,1,4,2,4,1,2,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,2,1950,5,2,1,1,1,NA,1,1,2,8,1,1,NA,1.2998
6,1,42,1,2,1,5,5,5,5,5,1,1,5,1,5,5,5,3,3,1,5,5,5,"Nancy Pelosi","Barbara",1,NA,2,1,3,1,1,1,4,2,2,2,2,2,2,1,2,10,NA,3,"Driver License Center Examiner",2,1,1,3,3,"Be comfortable",2,2,3,3,3,3,9,"Don't know",1,6,2,6,2,2,6,6,6,2,6,4,6,4,4,6,6,6,4,1,3,1,2,NA,7,1,5,1,2,NA,1,1,2,NA,2,1,2,2,1,1,1,2,1,2,2,2,2,2,1,2,1963,4,3,2,1,1,NA,1,1,2,4,3,1,NA,0.7579
7,1,19,2,4,1,4,3,4,6,1,1,2,1,6,4,2,2,6,6,1,1,2,2,"Nancy Pelosi","Kim Reynolds",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,"Get fucked over and eaten by the rich. No hope .",1,1,1,3,3,3,12,"Don't Know",1,6,5,2,1,5,6,6,6,6,6,5,3,2,5,6,6,6,6,2,5,5,4,"Liberal",3,NA,1,2,7,NA,2,1,1,NA,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,1986,2,3,2,1,6,NA,4,2,2,97,2,3,NA,1.2205
8,1,41,4,9,1,1,3,1,3,2,1,1,2,4,5,3,3,1,1,2,3,5,1,"","can't",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,"very blue collar, manual labor,",1,1,1,1,1,1,NA,"",1,3,3,2,1,5,3,3,3,3,NA,NA,3,2,5,NA,NA,NA,NA,1,2,5,1,NA,2,NA,3,1,1,NA,2,1,1,NA,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,2,1946,5,5,3,2,1,NA,1,1,2,4,3,2,NA,0.888
9,1,53,4,9,1,4,5,5,1,5,2,5,5,5,5,2,4,1,5,5,1,5,5,"Patty Murray","",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,"Combined family income is $75K a year or less",2,2,1,1,1,2,12,"Roberts",1,2,1,5,5,1,5,1,4,1,3,5,1,1,3,1,5,2,4,2,2,4,3,NA,4,NA,3,1,2,NA,3,1,2,NA,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,1952,5,5,3,2,1,NA,1,1,2,97,2,1,NA,0.7869
10,1,37,3,5,1,2,6,2,5,2,1,1,1,3,5,1,5,1,1,3,4,1,1,"Kristin Gillibrand","Joni Ernst",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,"It means a family earning less than $100,000 per year, and relies on their paycheck to pay all their expenses.",1,1,1,2,1,2,9,"Roberts",2,3,5,1,1,5,2,3,6,3,6,6,2,2,5,2,6,6,4,1,2,5,3,NA,3,NA,3,1,1,NA,2,1,1,NA,1,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1951,5,5,3,2,1,NA,1,1,2,5,2,2,NA,1.2474
